sample pop super_pop gender
HG00096 GBR EUR male
HG00097 GBR EUR female
HG00099 GBR EUR female
HG00100 GBR EUR female
HG00101 GBR EUR male
HG00102 GBR EUR female
HG00103 GBR EUR male
HG00105 GBR EUR male
HG00106 GBR EUR female
HG00107 GBR EUR male
HG00108 GBR EUR male
HG00109 GBR EUR male
HG00110 GBR EUR female
HG00111 GBR EUR female
HG00112 GBR EUR male
HG00113 GBR EUR male
HG00114 GBR EUR male
HG00115 GBR EUR male
HG00116 GBR EUR male
HG00117 GBR EUR male
HG00118 GBR EUR female
HG00119 GBR EUR male
HG00120 GBR EUR female
HG00121 GBR EUR female
HG00122 GBR EUR female
HG00123 GBR EUR female
HG00125 GBR EUR female
HG00126 GBR EUR male
HG00127 GBR EUR female
HG00128 GBR EUR female
HG00129 GBR EUR male
HG00130 GBR EUR female
HG00131 GBR EUR male
HG00132 GBR EUR female
HG00133 GBR EUR female
HG00136 GBR EUR male
HG00137 GBR EUR female
HG00138 GBR EUR male
HG00139 GBR EUR male
HG00140 GBR EUR male
HG00141 GBR EUR male
HG00142 GBR EUR male
HG00143 GBR EUR male
HG00145 GBR EUR male
HG00146 GBR EUR female
HG00148 GBR EUR male
HG00149 GBR EUR male
HG00150 GBR EUR female
HG00151 GBR EUR male
HG00154 GBR EUR female
HG00155 GBR EUR male
HG00157 GBR EUR male
HG00158 GBR EUR female
HG00159 GBR EUR male
HG00160 GBR EUR male
HG00231 GBR EUR female
HG00232 GBR EUR female
HG00233 GBR EUR female
HG00234 GBR EUR male
HG00235 GBR EUR female
HG00236 GBR EUR female
HG00237 GBR EUR female
HG00238 GBR EUR female
HG00239 GBR EUR female
HG00240 GBR EUR female
HG00242 GBR EUR male
HG00243 GBR EUR male
HG00244 GBR EUR male
HG00245 GBR EUR female
HG00246 GBR EUR male
HG00250 GBR EUR female
HG00251 GBR EUR male
HG00252 GBR EUR male
HG00253 GBR EUR female
HG00254 GBR EUR female
HG00255 GBR EUR female
HG00256 GBR EUR male
HG00257 GBR EUR female
HG00258 GBR EUR female
HG00259 GBR EUR female
HG00260 GBR EUR male
HG00261 GBR EUR female
HG00262 GBR EUR female
HG00263 GBR EUR female
HG00264 GBR EUR male
HG00265 GBR EUR male
HG01334 GBR EUR male
HG01789 GBR EUR male
HG01790 GBR EUR female
HG01791 GBR EUR male
HG02215 GBR EUR female
HG03052 MSL AFR female
HG03054 MSL AFR male
HG03055 MSL AFR female
HG03057 MSL AFR male
HG03058 MSL AFR female
HG03060 MSL AFR male
HG03061 MSL AFR female
HG03063 MSL AFR male
HG03064 MSL AFR female
HG03066 MSL AFR male
HG03069 MSL AFR male
HG03072 MSL AFR male
HG03073 MSL AFR female
HG03074 MSL AFR male
HG03077 MSL AFR male
HG03078 MSL AFR male
HG03079 MSL AFR female
HG03081 MSL AFR male
HG03082 MSL AFR female
HG03084 MSL AFR male
HG03085 MSL AFR female
HG03086 MSL AFR female
HG03088 MSL AFR female
HG03091 MSL AFR female
HG03095 MSL AFR female
HG03096 MSL AFR male
HG03097 MSL AFR female
HG03209 MSL AFR male
HG03212 MSL AFR female
HG03224 MSL AFR male
HG03225 MSL AFR male
HG03376 MSL AFR male
HG03378 MSL AFR female
HG03380 MSL AFR female
HG03382 MSL AFR male
HG03385 MSL AFR male
HG03388 MSL AFR male
HG03391 MSL AFR male
HG03394 MSL AFR male
HG03397 MSL AFR male
HG03401 MSL AFR female
HG03410 MSL AFR female
HG03419 MSL AFR female
HG03428 MSL AFR female
HG03432 MSL AFR male
HG03433 MSL AFR male
HG03436 MSL AFR male
HG03437 MSL AFR female
HG03439 MSL AFR male
HG03442 MSL AFR male
HG03445 MSL AFR male
HG03446 MSL AFR female
HG03449 MSL AFR female
HG03451 MSL AFR male
HG03452 MSL AFR female
HG03455 MSL AFR female
HG03457 MSL AFR male
HG03458 MSL AFR female
HG03460 MSL AFR male
HG03461 MSL AFR female
HG03464 MSL AFR female
HG03469 MSL AFR male
HG03470 MSL AFR female
HG03472 MSL AFR male
HG03473 MSL AFR female
HG03476 MSL AFR female
HG03478 MSL AFR male
HG03479 MSL AFR female
HG03484 MSL AFR male
HG03485 MSL AFR female
HG03547 MSL AFR male
HG03548 MSL AFR female
HG03556 MSL AFR male
HG03557 MSL AFR female
HG03558 MSL AFR female
HG03559 MSL AFR male
HG03563 MSL AFR female
HG03565 MSL AFR male
HG03567 MSL AFR female
HG03571 MSL AFR male
HG03572 MSL AFR female
HG03575 MSL AFR female
HG03577 MSL AFR male
HG03578 MSL AFR female
HG03583 MSL AFR female
